time,ribA,ribD1,ribD2,E1,ribH,ribE,E2,GTP,C01304,C01268,C04454,C04732,C04332,riboflavin,FMN
2.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999998e-07,2.29770229506e-18,2.64235763426e-27,2.02580751999e-36,1.16483932413e-45,5.35824174387e-55,2.05395756481e-64,6.74838673662e-74
2.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999998e-07,2.39760239473e-18,2.87712286792e-27,2.3016982948e-36,1.38101897704e-45,6.62887111032e-55,2.65151014924e-64,9.0905144637e-74
2.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999998e-07,2.49750249438e-18,3.12187811148e-27,2.60156509344e-36,1.6259781836e-45,8.12987010617e-55,3.38740425273e-64,1.20974441922e-73
2.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,2.59740259403e-18,3.37662336492e-27,2.9264069169e-36,1.90216449623e-45,9.89123373624e-55,4.28615619217e-64,1.59195255719e-73
2.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,2.69730269366e-18,3.64135862826e-27,3.27722276617e-36,2.21212536746e-45,1.19454545078e-54,5.37540582757e-64,2.07331655285e-73
2.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,2.79720279329e-18,3.91608390147e-27,3.65501164222e-36,2.55850814991e-45,1.43276223308e-54,6.68617130728e-64,2.67440783467e-73
2.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,2.8971028929e-18,4.20079918456e-27,4.06077254606e-36,2.94406009632e-45,1.70755244178e-54,8.25311380327e-64,3.41907954942e-73
3.0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,2.99700299251e-18,4.49550447753e-27,4.49550447865e-36,3.37162835949e-45,2.0229745184e-54,1.01148122364e-63,4.33484451747e-73
3.1,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,3.0969030921e-18,4.80019978037e-27,4.96020644099e-36,3.84415999236e-45,2.38337661476e-54,1.23140479917e-63,5.45328116026e-73
3.2,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,3.19680319169e-18,5.11488509307e-27,5.45587743406e-36,4.36470194795e-45,2.79340658298e-54,1.48980996236e-63,6.81046839868e-73
3.3,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,3.29670329126e-18,5.43956041564e-27,5.98351645884e-36,4.93640107936e-45,3.25802196548e-54,1.79190475515e-63,8.44745052158e-73
3.4,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,3.39660339083e-18,5.77422574806e-27,6.54412251632e-36,5.56250413982e-45,3.782499985e-54,2.14340887446e-63,1.04107330232e-72
3.5,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999997e-07,3.49650349038e-18,6.11888109034e-27,7.13869460748e-36,6.24635778263e-45,4.3724475346e-54,2.55058613976e-63,1.27528104088e-72
3.6,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,3.59640358993e-18,6.47352644247e-27,7.76823173329e-36,6.99140856122e-45,5.03381116768e-54,3.0202779596e-63,1.55327269671e-72
3.7,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,3.69630368947e-18,6.83816180444e-27,8.43373289474e-36,7.80120292908e-45,5.77288708797e-54,3.55993779714e-63,1.88166715088e-72
3.8,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,3.79620378899e-18,7.21278717626e-27,9.13619709282e-36,8.67938723982e-45,6.5963311396e-54,4.17766663465e-63,2.26786070706e-72
3.9,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,9.99999999996e-07,3.89610388851e-18,7.59740255792e-27,9.87662332849e-36,9.62970774716e-45,7.511168797e-54,4.88224943712e-63,2.72009365823e-72
