time,glucose,hexokinase,glucose6phosphate,phosphoglucoisomerase,fructose6phosphate,phosphoglucoisomerase2,glucose6phosphatereversible,phosphofructokinase,fructose16biphosphate
3.7,4e-09,9.99999999985e-07,1.47851874326e-17,1e-06,2.73525796132e-23,1e-06,3.3734869076e-29,1e-06,3.37349002808e-29
3.8,4e-09,9.99999999985e-07,1.51847863337e-17,1e-06,2.88510754696e-23,1e-06,3.65447188323e-29,1e-06,3.65447535498e-29
3.9,4e-09,9.99999999984e-07,1.55843851948e-17,1e-06,3.0389531061e-23,1e-06,3.9506416161e-29,1e-06,3.95064546798e-29
4.0,4e-09,9.99999999984e-07,1.5983984016e-17,1e-06,3.19679463794e-23,1e-06,4.26239570354e-29,1e-06,4.26239996594e-29
4.1,4e-09,9.99999999984e-07,1.63835827972e-17,1e-06,3.35863214168e-23,1e-06,4.59013374276e-29,1e-06,4.59013844765e-29
4.2,4e-09,9.99999999983e-07,1.67831815385e-17,1e-06,3.52446561652e-23,1e-06,4.93425533091e-29,1e-06,4.93426051188e-29
4.3,4e-09,9.99999999983e-07,1.71827802398e-17,1e-06,3.69429506166e-23,1e-06,5.29516006507e-29,1e-06,5.29516575737e-29
4.4,4e-09,9.99999999982e-07,1.75823789012e-17,1e-06,3.86812047628e-23,1e-06,5.67324754222e-29,1e-06,5.6732537828e-29
4.5,4e-09,9.99999999982e-07,1.79819775225e-17,1e-06,4.0459418596e-23,1e-06,6.06891735928e-29,1e-06,6.06892418682e-29
4.6,4e-09,9.99999999982e-07,1.8381576104e-17,1e-06,4.22775921081e-23,1e-06,6.48256911307e-29,1e-06,6.48257656804e-29
4.7,4e-09,9.99999999981e-07,1.87811746454e-17,1e-06,4.4135725291e-23,1e-06,6.91460240035e-29,1e-06,6.91461052502e-29
4.8,4e-09,9.99999999981e-07,1.91807731469e-17,1e-06,4.60338181368e-23,1e-06,7.36541681777e-29,1e-06,7.36542565628e-29
4.9,4e-09,9.9999999998e-07,1.95803716085e-17,1e-06,4.79718706374e-23,1e-06,7.83541196193e-29,1e-06,7.83542156033e-29
5.0,4e-09,9.9999999998e-07,1.99799700301e-17,1e-06,4.99498827848e-23,1e-06,8.32498742934e-29,1e-06,8.32499783559e-29
5.1,4e-09,9.9999999998e-07,2.03795684117e-17,1e-06,5.19678545709e-23,1e-06,8.83454281642e-29,1e-06,8.83455408048e-29
5.2,4e-09,9.99999999979e-07,2.07791667533e-17,1e-06,5.40257859878e-23,1e-06,9.36447771953e-29,1e-06,9.36448989337e-29
5.3,4e-09,9.99999999979e-07,2.1178765055e-17,1e-06,5.61236770274e-23,1e-06,9.91519173492e-29,1e-06,9.91520487257e-29
5.4,4e-09,9.99999999978e-07,2.15783633168e-17,1e-06,5.82615276816e-23,1e-06,1.04870844588e-28,1e-06,1.04870986164e-28
5.5,4e-09,9.99999999978e-07,2.19779615386e-17,1e-06,6.04393379426e-23,1e-06,1.10805554872e-28,1e-06,1.1080570723e-28
5.6,4e-09,9.99999999978e-07,2.23775597204e-17,1e-06,6.26571078022e-23,1e-06,1.16960044163e-28,1e-06,1.16960207907e-28
5.7,4e-09,9.99999999977e-07,2.27771578623e-17,1e-06,6.49148372524e-23,1e-06,1.23338308419e-28,1e-06,1.23338484177e-28
5.8,4e-09,9.99999999977e-07,2.31767559642e-17,1e-06,6.72125262852e-23,1e-06,1.299443436e-28,1e-06,1.29944532019e-28
5.9,4e-09,9.99999999976e-07,2.35763540261e-17,1e-06,6.95501748926e-23,1e-06,1.36782145662e-28,1e-06,1.36782347416e-28
6.0,4e-09,9.99999999976e-07,2.39759520481e-17,1e-06,7.19277830665e-23,1e-06,1.43855710564e-28,1e-06,1.43855926348e-28
6.1,4e-09,9.99999999976e-07,2.43755500301e-17,1e-06,7.4345350799e-23,1e-06,1.51169034261e-28,1e-06,1.51169264794e-28
6.2,4e-09,9.99999999975e-07,2.47751479722e-17,1e-06,7.68028780819e-23,1e-06,1.58726112708e-28,1e-06,1.58726358734e-28
6.3,4e-09,9.99999999975e-07,2.51747458743e-17,1e-06,7.93003649074e-23,1e-06,1.66530941862e-28,1e-06,1.66531204149e-28
6.4,4e-09,9.99999999974e-07,2.55743437364e-17,1e-06,8.18378112673e-23,1e-06,1.74587517674e-28,1e-06,1.74587797015e-28
6.5,4e-09,9.99999999974e-07,2.59739415586e-17,1e-06,8.44152171536e-23,1e-06,1.82899836099e-28,1e-06,1.82900133312e-28
6.6,4e-09,9.99999999974e-07,2.63735393409e-17,1e-06,8.70325825583e-23,1e-06,1.91471893089e-28,1e-06,1.91472209018e-28
6.7,4e-09,9.99999999973e-07,2.67731370831e-17,1e-06,8.96899074734e-23,1e-06,2.00307684595e-28,1e-06,2.00308020111e-28
6.8,4e-09,9.99999999973e-07,2.71727347854e-17,1e-06,9.23871918909e-23,1e-06,2.09411206567e-28,1e-06,2.09411562567e-28
6.9,4e-09,9.99999999972e-07,2.75723324478e-17,1e-06,9.51244358027e-23,1e-06,2.18786454956e-28,1e-06,2.18786832364e-28
7.0,4e-09,9.99999999972e-07,2.79719300702e-17,1e-06,9.79016392008e-23,1e-06,2.28437425711e-28,1e-06,2.28437825477e-28
7.1,4e-09,9.99999999972e-07,2.83715276526e-17,1e-06,1.00718802077e-22,1e-06,2.38368114779e-28,1e-06,2.38368537883e-28
7.2,4e-09,9.99999999971e-07,2.87711251951e-17,1e-06,1.03575924424e-22,1e-06,2.48582518108e-28,1e-06,2.48582965558e-28
7.3,4e-09,9.99999999971e-07,2.91707226976e-17,1e-06,1.06473006233e-22,1e-06,2.59084631646e-28,1e-06,2.59085104476e-28
7.4,4e-09,9.9999999997e-07,2.95703201601e-17,1e-06,1.09410047496e-22,1e-06,2.69878451337e-28,1e-06,2.69878950613e-28
7.5,4e-09,9.9999999997e-07,2.99699175827e-17,1e-06,1.12387048205e-22,1e-06,2.80967973126e-28,1e-06,2.80968499943e-28
7.6,4e-09,9.9999999997e-07,3.03695149653e-17,1e-06,1.15404008353e-22,1e-06,2.92357192959e-28,1e-06,2.92357748439e-28
7.7,4e-09,9.99999999969e-07,3.0769112308e-17,1e-06,1.1846092793e-22,1e-06,3.04050106778e-28,1e-06,3.04050692076e-28
7.8,4e-09,9.99999999969e-07,3.11687096107e-17,1e-06,1.2155780693e-22,1e-06,3.16050710526e-28,1e-06,3.16051326826e-28
7.9,4e-09,9.99999999968e-07,3.15683068735e-17,1e-06,1.24694645344e-22,1e-06,3.28363000144e-28,1e-06,3.28363648663e-28
8.0,4e-09,9.99999999968e-07,3.19679040962e-17,1e-06,1.27871443164e-22,1e-06,3.40990971575e-28,1e-06,3.40991653558e-28
8.1,4e-09,9.99999999968e-07,3.23675012791e-17,1e-06,1.31088200382e-22,1e-06,3.53938620757e-28,1e-06,3.53939337485e-28
8.2,4e-09,9.99999999967e-07,3.27670984219e-17,1e-06,1.3434491699e-22,1e-06,3.67209943631e-28,1e-06,3.67210696413e-28
8.3,4e-09,9.99999999967e-07,3.31666955249e-17,1e-06,1.37641592979e-22,1e-06,3.80808936134e-28,1e-06,3.80809726315e-28
8.4,4e-09,9.99999999966e-07,3.35662925878e-17,1e-06,1.40978228343e-22,1e-06,3.94739594206e-28,1e-06,3.94740423161e-28
8.5,4e-09,9.99999999966e-07,3.39658896108e-17,1e-06,1.44354823073e-22,1e-06,4.09005913782e-28,1e-06,4.09006782922e-28
8.6,4e-09,9.99999999966e-07,3.43654865938e-17,1e-06,1.47771377161e-22,1e-06,4.23611890799e-28,1e-06,4.23612801567e-28
8.7,4e-09,9.99999999965e-07,3.47650835369e-17,1e-06,1.51227890599e-22,1e-06,4.38561521192e-28,1e-06,4.38562475066e-28
8.8,4e-09,9.99999999965e-07,3.516468044e-17,1e-06,1.54724363378e-22,1e-06,4.53858800897e-28,1e-06,4.53859799389e-28
8.9,4e-09,9.99999999964e-07,3.55642773032e-17,1e-06,1.58260795492e-22,1e-06,4.69507725846e-28,1e-06,4.69508770503e-28
